message;severity;node;stamp;topics;location
"Spawning turtle [turtle1] at x=[5.544445], y=[5.544445], theta=[0.000000]";"2";"/turtlesim";"1486521073.419570046";"/rosout,/turtle1/color_sensor,/turtle1/pose";"/tmp/binarydeb/ros-jade-turtlesim-0.6.2/src/turtle_frame.cpp:string turtlesim::TurtleFrame::spawnTurtle:183"
"Spawning turtle [turtle1] at x=[5.544445], y=[5.544445], theta=[0.000000]";"2";"/turtlesim";"1486520914.013419301";"/rosout,/turtle1/color_sensor,/turtle1/pose";"/tmp/binarydeb/ros-jade-turtlesim-0.6.2/src/turtle_frame.cpp:string turtlesim::TurtleFrame::spawnTurtle:183"
